"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",32279,14
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",20120,-5
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",80467,-7
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",8913,0
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",8447,1
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",12544,4
"John Spellar ","@spellar","Labour","Warley",10222,-5
"John Redwood ","@johnredwood","Conservative","Wokingham",88437,167
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37647,1
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",31356,-7
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",287128,30
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",10776,-1
"John Howell ","@JHowellUK","Conservative","Henley",6861,4
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",28629,-4
"John Glen ","@JohnGlenUK","Conservative","Salisbury",22102,10
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",24235,-3
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",5518,1
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",102460,12
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",30051,20
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",3434,5
"Jo Churchill ","@Jochurchill4","Conservative","Bury St Edmunds",11324,7
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",2721,-2
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",25074,-1
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",12891,-5
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",26303,-1
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",407208,748
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",1829,1
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",217844,3
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2434932,82
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",20361,-5
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",10186,1
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",17598,-2
"Janet Daby","@JanetDaby","Labour","Lewisham East",10617,-1
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",3965,10
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",2801,1
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",10996,1
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",2214,0
"James Wild","@jamesowild","Conservative","North West Norfolk",1920,3
"James Sunderland","@JamesSunderl","Conservative","Bracknell",2447,4
"James Murray","@jamesmurray_ldn","Labour","Ealing North",8232,1
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",8286,4
"James Heappey ","@JSHeappey","Conservative","Wells",13754,-3
"James Gray ","@JGray","Conservative","North Wiltshire",17472,-1
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",22459,8
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",5551,4
"James Daly","@JamesDalyMP","Conservative","Bury North",3985,3
"James Cleverly ","@JamesCleverly","Conservative","Braintree",92416,1
"James Cartlidge ","@jc4southsuffolk","Conservative","South Suffolk",9098,2
"James Brokenshire ","@JBrokenshire","Conservative","Old Bexley and Sidcup",27883,0
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",19682,3
"Jacob Young","@JacobYoungMP","Conservative","Redcar",8241,11
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",426632,156
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",12261,-2
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",8070,2
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",24377,-6
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",4412,9
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",17247,-2
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",31574,-4
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",27114,-11
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",76514,22
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",23058,12
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",99295,54
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",17402,0
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",43970,40
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",9851,0
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",18494,0
"Holly Lynch ","@HollyLynch5","Labour","Halifax",22075,-7
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",160199,160
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",16644,7
"Helen Whately ","@Helen_Whately","Conservative","Faversham and Mid Kent",23155,8
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",21269,0
"Helen Grant ","@HelenGrantMP","Conservative","Maidstone and The Weald",16807,7
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",19355,8
"Harriett Baldwin ","@hbaldwin","Conservative","West Worcestershire",27728,19
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",178799,33
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",24132,-1
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",18678,-1
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",5536,8
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",10017,3
"Greg Hands ","@GregHands","Conservative","Chelsea and Fulham",35284,4
"Greg Clark","@GregClarkMP","Conservative","Tunbridge Wells",31907,-8
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",116135,19
"Grahame Morris ","@grahamemorris","Labour","Easington",32009,-6
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",16341,7
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",6183,30
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",11028,6
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",6094,3
"Giles Watling","@GilesWatling","Conservative","Clacton",4181,3
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",6705,-1
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",15042,2
"George Freeman ","@GeorgeFreemanMP","Conservative","Mid Norfolk",28295,-4
"Geoffrey Cox QC ","@Geoffrey_Cox","Conservative","Torridge and West Devon",41457,-10
"Gavin Williamson ","@GavinWilliamson","Conservative","South Staffordshire",86686,34
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",13389,-1
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14060,1
"Gary Streeter ","@garystreeterSWD","Conservative","South West Devon",4578,2
"Gary Sambrook","@GarySambrook89","Conservative","Birmingham, Northfield",3995,5
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",15592,2
"Gareth Davies","@GarethDavies_MP","Conservative","Grantham and Stamford",6740,2
"Gareth Bacon","@GarethBaconMP","Conservative","Orpington",5035,-2
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",3173,3
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",7263,-1
"Florence Eshalomi","@FloEshalomi","Labour","Vauxhall",23433,-1
"Flick Drummond ","@FlickD","Conservative","Meon Valley",5545,1
"Fleur Anderson","@PutneyFleur","Labour","Putney",10513,-5
"Feryal Clark","@FeryalClark","Labour","Enfield North",9902,-5
"Felicity Buchan","@FelicityBuchan","Conservative","Kensington",5117,3
"Fay Alicia Jones","@JonesyFay","Conservative","Brecon and Radnorshire",5601,4
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",6040,6
"Esther McVey","@EstherMcVey1","Conservative","Tatton",60295,50
"Emma Lewell-Buck ","@EmmaLewellBuck","Labour","South Shields",23324,3
"Emma Hardy","@EmmaHardyMP","Labour","Kingston upon Hull West and Hessle",26430,12
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",209478,39
"Elliot Colburn","@ElliotColburn","Conservative","Carshalton and Wallington",5813,3
"Ellie Reeves","@elliereeves","Labour","Lewisham West and Penge",21195,-8
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",90977,13
"Eleanor Laing ","@eleanor4epping","Conservative","Epping Forest",7785,6
"Edward Timpson","@edwardtimpson","Conservative","Eddisbury",6210,0
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",780093,-66
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",11420,8
"Edward Davey","@EdwardJDavey","Liberal Democrat","Kingston and Surbiton",56574,22
"Eddie Hughes","@EddieHughes4WN","Conservative","Walsall North",10046,0
"Duncan Charles Baker","@duncancbaker","Conservative","North Norfolk",2587,-1
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",14969,0
"Dr Thérèse Coffey ","@theresecoffey","Conservative","Suffolk Coastal",24980,-2
"Dr Rupa Huq ","@RupaHuq","Labour","Ealing Central and Acton",44927,6
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",181656,35
"Dr Philippa Whitford ","@Dr_PhilippaW","Scottish National Party","Central Ayrshire",34506,55
"Dr Liam Fox ","@LiamFox","Conservative","North Somerset",100483,32
"Dr Caroline Johnson ","@drcarolinej","Conservative","Sleaford and North Hykeham",5876,5
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",15480,-1
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",7975,-2
"Douglas Ross","@Douglas4Moray","Conservative","Moray",26275,36
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",13998,7
"Dominic Raab","@DominicRaab","Conservative","Esher and Walton",274365,173
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",362475,100
"Diana Johnson ","@DianaJohnsonMP","Labour","Kingston upon Hull North",27261,2
"Desmond Swayne ","@DesmondSwayne","Conservative","New Forest West",25372,83
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",6224,-4
"Derek Thomas ","@DerekThomasUK","Conservative","St Ives",4916,4
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",16448,-4
"Dehenna Davison","@DehennaDavison","Conservative","Bishop Auckland",34427,-7
"Debbie Abrahams ","@Debbie_abrahams","Labour","Oldham East and Saddleworth",51337,6
"Dean Russell","@dean4watford","Conservative","Watford",2648,8
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",151674,24
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",12799,0
"David T. C. Davies ","@DavidTCDavies","Conservative","Monmouth",16214,-1
"David Simmonds","@DSimmonds_RNP","Conservative","Ruislip, Northwood and Pinner",2906,-2
"David Rutley ","@DavidRutley","Conservative","Macclesfield",12900,2
"David Mundell ","@DavidMundellDCT","Conservative","Dumfriesshire, Clydesdale & Tweeddale",16483,-8
"David Morris ","@davidmorrisml","Conservative","Morecambe and Lunesdale",13225,4
"David Linden","@DavidLinden","Scottish National Party","Glasgow East",11408,0
"David Lammy ","@DavidLammy","Labour","Tottenham",684406,179
"David Jones ","@DavidJonesMP","Conservative","Clwyd West",12446,-6
"David Johnston","@david4wantage","Conservative","Wantage",1927,0
"David Evennett ","@DavidEvennett","Conservative","Bexleyheath and Crayford",13479,3
"David Duguid","@david_duguid","Conservative","Banff and Buchan",5131,4
"David Davis ","@DavidDavisMP","Conservative","Haltemprice and Howden",164914,66
"David Amess","@amessd_southend","Conservative","Southend West",3712,0
"Dave Doogan","@DaveDooganSNP","Scottish National Party","Angus",3575,3
"Darren Jones","@darrenpjones","Labour","Bristol North West",27891,-2
"Darren George Henry","@DarrenG_Henry","Conservative","Broxtowe",9964,0
"Danny Kruger","@danny__kruger","Conservative","Devizes",10084,12
"Daniel Zeichner ","@DanielZeichner","Labour","Cambridge",20168,3
"Daniel Kawczynski ","@DKShrewsbury","Conservative","Shrewsbury and Atcham",24808,21
"Dan Jarvis ","@DanJarvisMP","Labour","Barnsley Central",70908,-16
"Dan Carden","@DanCardenMP","Labour","Liverpool, Walton",46240,-5
"Damian Hinds","@DamianHinds","Conservative","East Hampshire",33730,2
"Damian Green ","@DamianGreen","Conservative","Ashford",19549,7
"Damian Collins ","@DamianCollins","Conservative","Folkestone and Hythe",30173,-3
"Daisy Cooper","@libdemdaisy","Liberal Democrat","St Albans",17461,1
"Crispin Blunt ","@CrispinBlunt","Conservative","Reigate",11499,2
"Craig Williams ","@craig4monty","Conservative","Montgomeryshire",5127,0
"Craig Whittaker ","@CWhittaker_MP","Conservative","Calder Valley",9566,2
"Craig Tracey ","@craig4nwarks","Conservative","North Warwickshire",8629,4
"Craig Mackinlay ","@cmackinlay","Conservative","South Thanet",10502,3
"Conor McGinn ","@ConorMcGinn","Labour","St Helens North",17108,-5
"Conor Burns","@ConorBurnsUK","Conservative","Bournemouth West",23122,-7
"Colum Eastwood","@columeastwood","Social Democratic and Labour Party","Foyle",32246,21
"Clive Lewis ","@labourlewis","Labour","Norwich South",99650,-13
"Clive Efford ","@CliveEfford","Labour","Eltham",13607,2
"Claudia Webbe","@ClaudiaWebbe","Independent","Leicester East",27402,-6
"Claire Hanna","@ClaireHanna","Social Democratic and Labour Party","Belfast South",31537,5
"Christopher Pincher ","@ChrisPincher","Conservative","Tamworth",19478,26
"Christopher Hazzard","@ChrisHazzardSF","Sinn Féin","South Down",18870,16
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",13051,4
"Christina Rees ","@Rees4Neath","Labour","Neath",10756,-3
"Christian Wakeford","@Christian4BuryS","Conservative","Bury South",3880,4
"Christian Matheson ","@ChrisM4Chester","Labour","City of Chester",13448,2
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",16079,-1
"Chris Skidmore","@CSkidmoreUK","Conservative","Kingswood",22329,4
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",11853,0
"Chris Loder","@chrisloder","Conservative","West Dorset",5205,5
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",19171,5
"Chris Heaton-Harris ","@chhcalling","Conservative","Daventry",21262,6
"Chris Green","@CGreenUK","Conservative","Bolton West",12247,4
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",6256,0
"Chris Elmore ","@CPJElmore","Labour","Ogmore",9935,12
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",5204,11
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",68289,204
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",17962,-1
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",44529,-4
"Cheryl Gillan ","@CherylGillan","Conservative","Chesham and Amersham",13765,8
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",2531,22
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",19789,-5
"Charles Walker","@CharlesWalkerMP","Conservative","Broxbourne",4801,7
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",29779,4
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",28055,-11
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",39974,-5
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",24468,0
"Caroline Nokes","@carolinenokes","Conservative","Romsey and Southampton North",21223,2
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",476200,117
"Caroline Dinenage ","@cj_dinenage","Conservative","Gosport",20655,14
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",5907,-3
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",19878,0
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",7918,4
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",34924,7
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14625,0
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",2075,30
"Brandon Lewis ","@BrandonLewis","Conservative","Great Yarmouth",57413,-6
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",3140961,4852
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",12592,-1
"Bob Blackman ","@BobBlackman","Conservative","Harrow East",18948,0
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",13351,4
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",30286,0
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",7187,-2
"Bernard Jenkin ","@bernardjenkin","Conservative","Harwich and North Essex",36294,3
"Ben Wallace ","@BWallaceMP","Conservative","Wyre and Preston North",17827,4
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",3903,16
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",7734,-1
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",6195,-1
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",70521,-9
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",32399,-3
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",36330,8
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",21321,3
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",91967,0
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",25754,2
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",9121,-4
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",15124,15
"Antony Higginbotham","@antony_hig","Conservative","Burnley",2788,3
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",4592,7
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",3457,6
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",54150,64
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",20821,10
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13194,3
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",20226,5
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",15400,4
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",39213,-4
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",7145,7
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",264262,166
"Angela Eagle ","@angelaeagle","Labour","Wallasey",75964,14
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25515,-13
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",40334,-5
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",4615,11
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",24579,3
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",19940,7
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",20228,12
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",4565,1
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15428,3
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",48989,-8
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",2968,0
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",33917,7
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",12925,7
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",121666,4
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61682,1
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",13576,2
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",3959,11
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",12470,7
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46134,3
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",13908,-3
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",36416,74
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",20274,0
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",27933,-1
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",53910,-4
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",13512,6
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",4636,5
"Alex Sobel","@alexsobel","Labour","Leeds North West",22906,3
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",6807,-4
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",6346,0
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",20749,-8
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",12390,4
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",3992,4
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",15863,2
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10178,4
"Alan Mak ","@AlanMakMP","Conservative","Havant",9596,6
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",5154,1
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",11959,6
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",26281,8
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",15710,-3
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",14251,3
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",4105,4